date,2800,2828
2013-08-15,20.235,92.103
2013-08-16,20.235,92.281
2013-08-19,20.148,92.015
2013-08-20,19.666,89.264
2013-08-21,19.622,89.175
2013-08-22,19.71,89.796
2013-08-23,19.666,89.708
2013-08-26,19.841,91.039
2013-08-27,19.71,90.151
2013-08-28,19.403,88.11
2013-08-29,19.535,88.909
2013-08-30,19.535,88.288
2013-09-02,20.016,90.772
2013-09-03,20.148,92.458
2013-09-04,20.104,92.458
2013-09-05,20.367,93.523
2013-09-06,20.411,93.612
2013-09-09,20.498,95.12
2013-09-10,20.673,96.629
2013-09-11,20.673,95.919
2013-09-12,20.717,96.185
2013-09-13,20.673,95.298
2013-09-16,21.024,96.717
2013-09-17,20.892,96.096
2013-09-18,20.849,95.653
2013-09-19,21.199,97.338
2013-09-23,21.111,96.717
2013-09-24,20.936,95.741
2013-09-25,20.936,95.741
2013-09-26,20.892,95.386
2013-09-27,20.936,94.854
2013-09-30,20.673,93.346
2013-10-02,20.761,93.346
2013-10-03,20.98,95.031
2013-10-04,20.892,95.031
2013-10-07,20.761,94.144
2013-10-08,20.98,95.12
2013-10-09,20.849,94.854
2013-10-10,20.761,94.677
2013-10-11,21.024,95.564
2013-10-15,21.111,96.451
2013-10-16,20.936,96.008
2013-10-17,20.805,95.386
2013-10-18,21.068,96.185
2013-10-21,21.155,96.185
2013-10-22,21.068,96.185
2013-10-23,20.805,94.499
2013-10-24,20.673,93.257
2013-10-25,20.542,91.926
2013-10-28,20.673,92.813
2013-10-29,20.717,93.967
2013-10-30,21.111,96.008
2013-10-31,20.959,95.919
2013-11-01,21.004,96.451
2013-11-04,20.959,96.451
2013-11-05,20.824,96.008
2013-11-06,20.779,95.209
2013-11-07,20.645,94.588
2013-11-08,20.555,93.967
2013-11-11,20.869,95.653
2013-11-12,20.734,95.475
2013-11-13,20.331,92.813
2013-11-14,20.465,93.789
2013-11-15,20.824,96.54
2013-11-18,21.408,101.953
2013-11-19,21.408,102.574
2013-11-20,21.453,103.106
2013-11-21,21.318,102.219
2013-11-22,21.408,103.284
2013-11-25,21.497,102.84
2013-11-26,21.497,102.041
2013-11-27,21.542,102.751
2013-11-28,21.542,102.574
2013-11-29,21.632,103.106
2013-12-02,21.722,103.993
2013-12-03,21.632,103.284
2013-12-04,21.497,102.485
2013-12-05,21.453,102.751
2013-12-06,21.542,102.574
2013-12-09,21.542,103.017
2013-12-10,21.497,102.574
2013-12-11,21.094,99.823
2013-12-12,21.049,99.113
2013-12-13,21.049,99.266
2013-12-16,20.914,98.727
2013-12-17,20.869,98.278
2013-12-18,20.959,98.637
2013-12-19,20.69,97.112
2013-12-20,20.645,95.765
2013-12-23,20.779,95.855
2013-12-24,21.004,97.83
2013-12-27,21.049,97.65
2013-12-30,21.049,97.022
2013-12-31,21.049,97.56
2014-01-02,21.094,96.483
2014-01-03,20.645,94.24
2014-01-06,20.51,92.804
2014-01-07,20.555,92.175
2014-01-08,20.824,93.073
2014-01-09,20.6,91.637
2014-01-10,20.69,91.637
2014-01-13,20.734,91.906
2014-01-14,20.645,91.637
2014-01-15,20.734,91.996
2014-01-16,20.824,91.816
2014-01-17,20.959,91.727
2014-01-20,20.734,90.56
2014-01-21,20.824,92.086
2014-01-22,20.869,93.073
2014-01-23,20.6,91.278
2014-01-24,20.286,90.38
2014-01-27,19.882,88.54
2014-01-28,19.882,88.181
2014-01-29,20.016,89.258
2014-01-30,19.927,88.451
2014-02-04,19.388,85.982
2014-02-05,19.253,85.444
2014-02-06,19.388,85.893
2014-02-07,19.568,86.925
2014-02-10,19.523,86.566
2014-02-11,19.882,88.72
2014-02-12,20.196,90.201
2014-02-13,20.061,88.989
2014-02-14,20.241,89.662
2014-02-17,20.331,90.919
2014-02-18,20.42,90.56
2014-02-19,20.465,90.47
2014-02-20,20.286,89.842
2014-02-21,20.42,89.438
2014-02-24,20.241,88.226
2014-02-25,20.241,87.777
2014-02-26,20.331,88.361
2014-02-27,20.69,89.662
2014-02-28,20.645,88.989
2014-03-03,20.375,87.912
2014-03-04,20.51,88.136
2014-03-05,20.465,86.925
2014-03-06,20.555,87.015
2014-03-07,20.555,87.553
2014-03-10,20.151,85.848
2014-03-11,20.151,85.893
2014-03-12,19.927,84.367
2014-03-13,19.792,83.963
2014-03-14,19.612,83.873
2014-03-17,19.523,84.098
2014-03-18,19.612,84.098
2014-03-19,19.612,84.457
2014-03-20,19.253,82.886
2014-03-21,19.523,84.905
2014-03-24,19.882,87.374
2014-03-25,19.792,87.284
2014-03-26,19.927,88.72
2014-03-27,19.837,89.124
2014-03-28,20.061,90.111
2014-03-31,20.106,90.65
2014-04-01,20.42,90.829
2014-04-02,20.42,90.201
2014-04-03,20.465,90.829
2014-04-04,20.42,91.098
2014-04-07,20.286,91.457
2014-04-08,20.555,93.073
2014-04-09,20.779,93.342
2014-04-10,21.094,93.881
2014-04-11,20.869,92.175
2014-04-14,20.914,92.355
2014-04-15,20.555,90.38
2014-04-16,20.645,90.56
2014-04-17,20.69,90.739
2014-04-22,20.69,90.47
2014-04-23,20.465,89.169
2014-04-24,20.51,89.528
2014-04-25,20.151,88.316
2014-04-28,20.151,88.226
2014-04-29,20.467,88.944
2014-04-30,20.106,88.092
2014-05-02,20.287,88.451
2014-05-05,20.015,87.777
2014-05-07,19.835,87.149
2014-05-08,19.925,87.822
2014-05-09,19.97,87.149
2014-05-12,20.377,88.63
2014-05-13,20.422,88.944
2014-05-14,20.648,90.021
2014-05-15,20.738,89.752
2014-05-16,20.693,89.528
2014-05-19,20.693,89.258
2014-05-20,20.829,88.989
2014-05-21,20.919,89.931
2014-05-22,21.009,91.278
2014-05-23,21.055,91.368
2014-05-26,21.055,91.547
2014-05-27,21.055,91.098
2014-05-28,21.235,92.265
2014-05-29,21.145,91.906
2014-05-30,21.235,92.804
2014-06-03,21.371,93.701
2014-06-04,21.281,93.432
2014-06-05,21.281,93.881
2014-06-06,21.145,93.791
2014-06-09,21.235,94.24
2014-06-10,21.416,95.227
2014-06-11,21.416,95.137
2014-06-12,21.416,95.227
2014-06-13,21.552,95.855
2014-06-16,21.552,96.035
2014-06-17,21.461,95.317
2014-06-18,21.461,95.227
2014-06-19,21.461,94.958
2014-06-20,21.506,95.496
